id,prompt_en,prompt_zh,prompt_ms,prompt_ta,weight,yesValue,noValue,category,explanation_en,explanation_zh,explanation_ms,explanation_ta,cancerType,minAge
1,I have noticed a lump or thickening in my breast or underarm area.,我注意到乳房或腋下有肿块或增厚。,Saya perasan ketulan atau penebalan di kawasan payudara atau ketiak saya.,என் மார்பகம் அல்லது அக்குள் பகுதியில் கட்டி அல்லது தடிமன் கவனித்தேன்.,25.0,100,0,Medical History,A lump in the breast or underarm is one of the most common signs of breast cancer and should be examined by a doctor immediately.,乳房或腋下的肿块是乳腺癌最常见的征兆之一，应立即由医生检查。,Ketulan di payudara atau ketiak adalah salah satu tanda kanser payudara yang paling biasa dan perlu diperiksa oleh doktor dengan segera.,மார்பகம் அல்லது அக்குளில் கட்டி மார்பக புற்றுநோயின் மிகவும் பொதுவான அறிகுறிகளில் ஒன்று மற்றும் உடனடியாக மருத்துவரால் பரிசோதிக்கப்பட வேண்டும்.,breast,
2,"I have noticed changes in the size, shape, or appearance of my breast.",我注意到乳房的大小、形状或外观发生了变化。,"Saya perasan perubahan pada saiz, bentuk, atau penampilan payudara saya.","என் மார்பகத்தின் அளவு, வடிவம் அல்லது தோற்றத்தில் மாற்றங்களை கவனித்தேன்.",20.0,100,0,Medical History,Changes in breast appearance can indicate breast cancer. Early detection is crucial.,乳房外观的变化可能表明乳腺癌。早期发现至关重要。,Perubahan pada penampilan payudara boleh menunjukkan kanser payudara. Pengesanan awal adalah penting.,மார்பக தோற்றத்தில் மாற்றங்கள் மார்பக புற்றுநோயை குறிக்கலாம். ஆரம்ப கண்டறிதல் முக்கியம்.,breast,
3,I have noticed nipple discharge (other than breast milk) or changes in my nipple.,我注意到乳头有分泌物（母乳除外）或乳头发生变化。,Saya perasan keluar cecair dari puting (selain susu ibu) atau perubahan pada puting saya.,என் முலைக்காம்பில் சுரப்பு (தாய்ப்பால் தவிர) அல்லது முலைக்காம்பில் மாற்றங்களை கவனித்தேன்.,18.0,100,0,Medical History,Nipple discharge or changes like inversion can be signs of breast cancer and require medical evaluation.,乳头分泌物或如内陷等变化可能是乳腺癌的征兆，需要医疗评估。,Keluar cecair dari puting atau perubahan seperti lekuk boleh menjadi tanda kanser payudara dan memerlukan penilaian perubatan.,முலைக்காம்பு சுரப்பு அல்லது உள்நோக்கிய மாற்றங்கள் மார்பக புற்றுநோயின் அறிகுறிகளாக இருக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.,breast,
4,"My mother, sister, or daughter has had breast cancer.",我的母亲、姐妹或女儿患过乳腺癌。,"Ibu, kakak, atau anak perempuan saya pernah menghidap kanser payudara.","என் தாய், சகோதரி அல்லது மகளுக்கு மார்பக புற்றுநோய் இருந்தது.",15.0,100,0,Family & Genetics,Having a first-degree relative with breast cancer doubles your lifetime risk. Discuss earlier screening with your doctor.,有一级亲属患乳腺癌会使您的终生风险增加一倍。与医生讨论更早筛查。,Mempunyai saudara terdekat dengan kanser payudara menggandakan risiko seumur hidup anda. Bincangkan saringan lebih awal dengan doktor anda.,முதல் நிலை உறவினருக்கு மார்பக புற்றுநோய் இருந்தால் உங்கள் வாழ்நாள் ஆபத்தை இரட்டிப்பாக்குகிறது. முந்தைய பரிசோதனை பற்றி மருத்துவரிடம் விவாதிக்கவும்.,breast,
5,I had my first menstrual period before age 12 or menopause after age 55.,我在12岁之前第一次来月经或在55岁之后绝经。,Saya mendapat haid pertama sebelum umur 12 tahun atau menopaus selepas umur 55 tahun.,எனக்கு 12 வயதுக்கு முன் முதல் மாதவிடாய் அல்லது 55 வயதுக்கு பின் மாதவிடாய் நிறுத்தம் ஏற்பட்டது.,8.0,100,0,Medical History,Early menstruation or late menopause increases breast cancer risk due to prolonged estrogen exposure.,早经或晚绝经会因长期暴露于雌激素而增加乳腺癌风险。,Haid awal atau menopaus lewat meningkatkan risiko kanser payudara kerana pendedahan estrogen yang berpanjangan.,ஆரம்ப மாதவிடாய் அல்லது தாமதமான மாதவிடாய் நிறுத்தம் நீண்டகால ஈஸ்ட்ரோஜன் வெளிப்பாட்டால் மார்பக புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,breast,
6,I have never had children or had my first child after age 30.,我从未生育或在30岁后生第一个孩子。,Saya tidak pernah mempunyai anak atau mempunyai anak pertama selepas umur 30 tahun.,எனக்கு ஒருபோதும் குழந்தைகள் இல்லை அல்லது 30 வயதுக்கு பின் முதல் குழந்தை பெற்றேன்.,6.0,100,0,Medical History,Not having children or having your first child after 30 slightly increases breast cancer risk.,没有生育或在30岁后生第一个孩子会略微增加乳腺癌风险。,Tidak mempunyai anak atau mempunyai anak pertama selepas 30 tahun sedikit meningkatkan risiko kanser payudara.,குழந்தைகள் இல்லாதது அல்லது 30 வயதுக்கு பின் முதல் குழந்தையை பெறுவது மார்பக புற்றுநோய் ஆபத்தை சற்று அதிகரிக்கிறது.,breast,
7,I am currently using or have used hormone replacement therapy (HRT).,我目前正在使用或曾经使用激素替代疗法（HRT）。,Saya sedang menggunakan atau pernah menggunakan terapi penggantian hormon (HRT).,நான் தற்போது ஹார்மோன் மாற்று சிகிச்சை (HRT) பயன்படுத்துகிறேன் அல்லது பயன்படுத்தியுள்ளேன்.,7.0,100,0,Medical History,Combined hormone replacement therapy increases breast cancer risk. Discuss alternatives with your doctor.,联合激素替代疗法会增加乳腺癌风险。与医生讨论替代方案。,Terapi penggantian hormon gabungan meningkatkan risiko kanser payudara. Bincangkan alternatif dengan doktor anda.,இணைந்த ஹார்மோன் மாற்று சிகிச்சை மார்பக புற்றுநோய் ஆபத்தை அதிகரிக்கிறது. மருத்துவரிடம் மாற்று வழிகளை விவாதிக்கவும்.,breast,
8,I am a woman aged 40 or above and have never had a mammogram.,我是一名40岁或以上的女性，从未做过乳房X光检查。,Saya seorang wanita berumur 40 tahun atau lebih dan tidak pernah menjalani mamogram.,நான் 40 வயது அல்லது அதற்கு மேற்பட்ட பெண் மற்றும் ஒருபோதும் மேமோகிராம் செய்யவில்லை.,12.0,100,0,Medical History,Women over 40 should have regular mammograms. Early detection through screening significantly improves survival rates.,40岁以上的女性应定期进行乳房X光检查。通过筛查早期发现可显著提高生存率。,Wanita berumur lebih 40 tahun perlu menjalani mamogram berkala. Pengesanan awal melalui saringan meningkatkan kadar kelangsungan hidup dengan ketara.,40 வயதுக்கு மேற்பட்ட பெண்கள் வழக்கமான மேமோகிராம் செய்ய வேண்டும். பரிசோதனை மூலம் ஆரம்பகால கண்டறிதல் உயிர்வாழ்வு விகிதங்களை கணிசமாக மேம்படுத்துகிறது.,breast,40
9,I have a persistent cough that won't go away or has gotten worse.,我有持续不消失或变得更严重的咳嗽。,Saya mempunyai batuk berterusan yang tidak hilang atau semakin teruk.,என் இருமல் தொடர்ச்சியாக இருக்கிறது அல்லது மோசமாகிவிட்டது.,22.0,100,0,Medical History,"A persistent or worsening cough is a common early symptom of lung cancer, especially in smokers.",持续或恶化的咳嗽是肺癌的常见早期症状，特别是在吸烟者中。,"Batuk berterusan atau semakin teruk adalah gejala awal kanser paru-paru yang biasa, terutamanya pada perokok.","தொடர்ச்சியான அல்லது மோசமடையும் இருமல் நுரையீரல் புற்றுநோயின் பொதுவான ஆரம்ப அறிகுறி, குறிப்பாக புகைபிடிப்பவர்களில்.",lung,
10,I have been coughing up blood or rust-colored sputum.,我咳出血或铁锈色痰。,Saya terbatuk darah atau kahak berwarna karat.,நான் இரத்தம் அல்லது துருப்பிடித்த நிற சளியை இருமுகிறேன்.,30.0,100,0,Medical History,Coughing up blood is a serious symptom that requires immediate medical attention and can indicate lung cancer.,咳血是一个严重症状，需要立即就医，可能表明肺癌。,Batuk darah adalah gejala serius yang memerlukan perhatian perubatan segera dan boleh menunjukkan kanser paru-paru.,இரத்தம் இருமுதல் உடனடி மருத்துவ கவனம் தேவைப்படும் தீவிர அறிகுறி மற்றும் நுரையீரல் புற்றுநோயை குறிக்கலாம்.,lung,
